Id;ActivityDate;VeryActiveMinutes;FairlyActiveMinutes;LightlyActiveMinutes;SedentaryMinutes;Calories
1503960366;12.04.2016;25;13;328;728;1985
1503960366;13.04.2016;21;19;217;776;1797
1503960366;14.04.2016;30;11;181;1218;1776
1503960366;15.04.2016;29;34;209;726;1745
1503960366;16.04.2016;36;10;221;773;1863
1503960366;17.04.2016;38;20;164;539;1728
1503960366;18.04.2016;42;16;233;1149;1921
1503960366;19.04.2016;50;31;264;775;2035
1503960366;20.04.2016;28;12;205;818;1786
1503960366;21.04.2016;19;8;211;838;1775
1503960366;22.04.2016;66;27;130;1217;1827
1503960366;23.04.2016;41;21;262;732;1949
1503960366;24.04.2016;39;5;238;709;1788
1503960366;25.04.2016;73;14;216;814;2013
1503960366;26.04.2016;31;23;279;833;1970
1503960366;27.04.2016;78;11;243;1108;2159
1503960366;28.04.2016;48;28;189;782;1898
1503960366;29.04.2016;16;12;243;815;1837
1503960366;30.04.2016;52;34;217;712;1947
1503960366;1.05.2016;33;35;246;730;1820
1503960366;2.05.2016;41;15;277;798;2004
1503960366;3.05.2016;50;24;254;816;1990
1503960366;4.05.2016;36;22;203;1179;1819
1503960366;5.05.2016;45;24;250;857;1959
1503960366;6.05.2016;24;6;289;754;1896
1503960366;7.05.2016;37;46;175;833;1821
1503960366;8.05.2016;44;8;203;574;1740
1503960366;9.05.2016;46;11;206;835;1819
1503960366;10.05.2016;46;31;214;746;1859
1503960366;11.05.2016;36;23;251;669;1783
1624580081;12.04.2016;0;0;146;1294;1432
1624580081;13.04.2016;0;0;148;1292;1411
1624580081;14.04.2016;0;0;236;1204;1572
1624580081;15.04.2016;0;0;96;1344;1344
1624580081;16.04.2016;0;0;176;1264;1463
1624580081;17.04.2016;15;22;127;1276;1554
1624580081;18.04.2016;17;7;202;1214;1604
1624580081;19.04.2016;0;0;141;1299;1435
1624580081;20.04.2016;0;0;151;1289;1446
1624580081;21.04.2016;0;0;186;1254;1467
1624580081;22.04.2016;0;0;199;1241;1470
1624580081;23.04.2016;0;0;227;1213;1562
1624580081;24.04.2016;16;18;185;1221;1617
1624580081;25.04.2016;0;0;202;1238;1492
1624580081;26.04.2016;0;0;140;1300;1402
1624580081;27.04.2016;17;36;154;1233;1670
1624580081;28.04.2016;0;5;115;1320;1401
1624580081;29.04.2016;0;0;150;1290;1404
1624580081;30.04.2016;11;23;224;1182;1655
1624580081;1.05.2016;186;63;171;1020;2690
1624580081;2.05.2016;7;6;166;1261;1497
1624580081;3.05.2016;0;0;96;1344;1334
1624580081;4.05.2016;0;0;118;1322;1368
1624580081;5.05.2016;0;0;117;1323;1370
1624580081;6.05.2016;0;0;102;1338;1341
1624580081;7.05.2016;0;0;182;1258;1474
1624580081;8.05.2016;0;0;152;1288;1427
1624580081;9.05.2016;0;0;91;1349;1328
1624580081;10.05.2016;0;0;139;1301;1393
1624580081;11.05.2016;0;0;112;1328;1359
1624580081;12.05.2016;0;0;107;890;1002
1644430081;12.04.2016;2;51;256;1131;3199
1644430081;13.04.2016;30;16;135;1259;2902
1644430081;14.04.2016;5;58;252;1125;3226
1644430081;15.04.2016;3;4;170;1263;2750
1644430081;16.04.2016;51;42;212;1135;3493
1644430081;17.04.2016;29;13;186;1212;3011
1644430081;18.04.2016;15;33;121;1271;2806
1644430081;19.04.2016;5;58;278;1099;3300
1644430081;20.04.2016;0;0;125;1315;2430
1644430081;21.04.2016;0;0;38;1402;2140
1644430081;22.04.2016;0;0;86;1354;2344
1644430081;23.04.2016;0;15;160;1265;2677
1644430081;24.04.2016;0;0;89;1351;2413
1644430081;25.04.2016;8;1;94;1337;2497
1644430081;26.04.2016;11;41;223;1165;3123
1644430081;27.04.2016;0;0;118;1322;2489
1644430081;28.04.2016;3;53;227;1157;3108
1644430081;29.04.2016;0;0;120;1193;2498
1644430081;30.04.2016;9;71;402;816;3846
1644430081;1.05.2016;3;24;146;908;2696
1644430081;2.05.2016;1;7;148;682;2580
1644430081;3.05.2016;10;94;221;1115;3324
1644430081;4.05.2016;0;0;52;1388;2222
1644430081;5.05.2016;6;12;81;1341;2463
1644430081;6.05.2016;11;6;369;1054;3328
1644430081;7.05.2016;41;17;243;1139;3404
1644430081;8.05.2016;0;0;295;991;2987
1644430081;9.05.2016;32;6;303;1099;3008
1644430081;10.05.2016;12;19;155;1254;2799
1644430081;11.05.2016;0;0;49;713;1276
1844505072;12.04.2016;0;0;339;1101;2030
1844505072;13.04.2016;0;0;248;1192;1860
1844505072;14.04.2016;0;0;373;843;2130
1844505072;15.04.2016;0;0;176;527;1725
1844505072;16.04.2016;0;0;147;1293;1657
1844505072;17.04.2016;2;8;199;1231;1793
1844505072;18.04.2016;0;12;217;1211;1814
1844505072;19.04.2016;0;0;10;1430;1366
1844505072;21.04.2016;2;13;308;1117;2062
1844505072;22.04.2016;0;0;220;1220;1827
1844505072;23.04.2016;0;0;139;1301;1645
1844505072;28.04.2016;0;0;302;1138;1992
1844505072;29.04.2016;0;0;247;1082;1856
1844505072;30.04.2016;0;0;184;218;1763
1844505072;1.05.2016;0;7;75;585;1541
1844505072;3.05.2016;0;0;184;1256;1742
1844505072;4.05.2016;0;0;87;1353;1549
1844505072;5.05.2016;0;0;120;1320;1589
1927972279;12.04.2016;0;0;55;734;2220
1927972279;13.04.2016;0;0;32;986;2151
1927972279;14.04.2016;0;9;88;1292;2383
1927972279;15.04.2016;0;0;51;941;2221
1927972279;18.04.2016;0;0;17;1423;2111
1927972279;22.04.2016;0;0;10;1430;2093
1927972279;23.04.2016;0;0;145;1295;2499
1927972279;24.04.2016;1;6;75;1358;2324
1927972279;25.04.2016;0;0;12;1303;2100
1927972279;26.04.2016;0;0;192;1058;2638
1927972279;28.04.2016;0;0;95;1167;2351
1927972279;1.05.2016;14;1;70;1355;2411
1927972279;2.05.2016;16;8;94;1322;2505
1927972279;3.05.2016;10;0;17;1413;2195
1927972279;4.05.2016;0;0;87;1353;2338
1927972279;6.05.2016;0;0;108;1332;2383
1927972279;7.05.2016;0;0;48;1392;2229
2022484408;12.04.2016;42;14;227;1157;2390
2022484408;13.04.2016;43;5;292;1100;2601
2022484408;14.04.2016;32;3;257;1148;2312
2022484408;15.04.2016;27;9;282;1122;2525
2022484408;16.04.2016;41;11;151;1237;2177
2022484408;17.04.2016;28;29;331;1052;2782
2022484408;18.04.2016;48;3;311;1078;2770
2022484408;19.04.2016;31;7;250;1152;2489
2022484408;20.04.2016;48;63;276;1053;2897
2022484408;21.04.2016;104;53;255;1028;3158
2022484408;22.04.2016;52;10;273;1105;2638
2022484408;23.04.2016;0;0;249;1191;2069
2022484408;24.04.2016;37;26;216;1161;2529
2022484408;25.04.2016;44;8;217;1171;2470
2022484408;26.04.2016;55;24;275;1086;2793
2022484408;27.04.2016;19;20;282;1119;2463
2022484408;28.04.2016;6;20;291;1123;2296
2022484408;29.04.2016;21;40;281;1098;2611
2022484408;30.04.2016;13;23;361;1043;2732
2022484408;1.05.2016;25;28;245;1142;2380
2022484408;2.05.2016;36;8;277;1119;2473
2022484408;3.05.2016;72;14;250;1104;2752
2022484408;4.05.2016;36;27;272;1105;2649
2022484408;5.05.2016;55;20;253;1112;2609
2022484408;6.05.2016;24;17;295;1104;2498
2022484408;7.05.2016;20;2;149;1269;1995
2022484408;8.05.2016;0;0;135;1305;1848
2022484408;9.05.2016;35;47;297;1061;2709
2022484408;10.05.2016;57;28;271;1084;2797
2022484408;11.05.2016;58;25;224;1133;2544
2022484408;12.05.2016;16;16;236;728;1853
2026352035;12.04.2016;3;8;181;706;1459
2026352035;13.04.2016;0;0;238;663;1521
2026352035;14.04.2016;0;0;197;653;1431
2026352035;15.04.2016;0;0;188;687;1444
2026352035;16.04.2016;0;0;150;728;1373
2026352035;17.04.2016;0;0;60;1053;1214
2026352035;18.04.2016;0;0;182;1062;1419
2026352035;19.04.2016;0;0;141;785;1356
2026352035;20.04.2016;0;0;327;623;1667
2026352035;21.04.2016;0;0;153;749;1370
2026352035;22.04.2016;0;0;162;712;1399
2026352035;23.04.2016;0;0;432;458;1916
2026352035;24.04.2016;0;0;164;704;1401
2026352035;25.04.2016;0;0;260;821;1576
2026352035;26.04.2016;0;0;288;1018;1595
2026352035;27.04.2016;0;0;286;586;1593
2026352035;28.04.2016;0;0;331;626;1649
2026352035;29.04.2016;0;0;352;492;1692
2026352035;30.04.2016;0;0;233;594;1506
2026352035;1.05.2016;0;0;191;716;1447
2026352035;2.05.2016;0;0;355;716;1690
2026352035;3.05.2016;0;0;304;981;1604
2026352035;4.05.2016;0;0;345;530;1658
2026352035;5.05.2016;0;0;475;479;1926
2026352035;6.05.2016;0;0;383;511;1736
2026352035;7.05.2016;0;0;229;665;1491
2026352035;8.05.2016;0;0;258;610;1555
2026352035;9.05.2016;0;0;401;543;1869
2026352035;10.05.2016;0;0;17;1002;1141
2026352035;11.05.2016;0;0;330;569;1698
2026352035;12.05.2016;0;0;343;330;1364
2320127002;12.04.2016;13;9;306;1112;2124
2320127002;13.04.2016;0;0;335;1105;2003
2320127002;14.04.2016;0;0;191;1249;1696
2320127002;15.04.2016;0;0;245;1195;1801
2320127002;16.04.2016;0;0;195;1245;1724
2320127002;17.04.2016;0;0;249;1191;1852
2320127002;18.04.2016;0;7;260;1173;1905
2320127002;19.04.2016;0;11;228;1201;1811
2320127002;20.04.2016;0;11;283;1146;1922
2320127002;21.04.2016;1;10;127;1302;1610
2320127002;22.04.2016;0;0;266;1174;1851
2320127002;23.04.2016;0;0;242;1129;1804
2320127002;24.04.2016;0;0;204;1236;1725
2320127002;25.04.2016;3;5;152;1280;1654
2320127002;26.04.2016;0;0;147;1293;1632
2320127002;27.04.2016;0;0;82;1358;1481
2320127002;28.04.2016;0;0;76;1364;1473
2320127002;29.04.2016;0;0;45;1395;1410
2320127002;30.04.2016;0;0;234;1206;1779
2320127002;1.05.2016;0;0;40;1400;1403
2320127002;2.05.2016;5;6;123;1306;1613
2320127002;3.05.2016;20;10;206;1204;1878
2320127002;4.05.2016;0;0;52;1388;1426
2320127002;5.05.2016;0;11;223;1206;1780
2320127002;6.05.2016;0;0;204;1236;1742
2320127002;7.05.2016;0;0;319;1121;1972
2320127002;8.05.2016;0;0;247;1193;1821
2320127002;9.05.2016;0;0;145;1295;1630
2320127002;10.05.2016;0;0;290;1150;1899
2320127002;11.05.2016;0;0;300;1140;1903
2320127002;12.05.2016;0;0;128;830;1125
2347167796;12.04.2016;28;13;320;964;2344
2347167796;13.04.2016;19;32;195;676;2038
2347167796;14.04.2016;1;48;206;705;2010
2347167796;15.04.2016;1;24;284;720;2133
2347167796;16.04.2016;66;72;268;968;2670
2347167796;17.04.2016;1;7;249;508;1882
2347167796;18.04.2016;11;16;206;678;1944
2347167796;19.04.2016;0;7;382;648;2346
2347167796;20.04.2016;11;43;269;1011;2198
2347167796;21.04.2016;23;26;208;761;2048
2347167796;22.04.2016;9;27;206;781;1946
2347167796;23.04.2016;32;35;360;591;2629
2347167796;24.04.2016;0;0;360;584;2187
2347167796;25.04.2016;15;11;277;653;2095
